method,layout_index,in_sample,gap_bin,gap_percent,n_candidates,tolerance,classification,numerically_agreed,dop_agreed,rk4_agreed,single_control_ok,single_exact_max_error,dop_position_delta,dop_distance_delta,metric_grid_distance_delta,rk4_last_position_delta,rk4_last_distance_delta,rk4_vs_dop_position_delta,rk4_vs_dop_distance_delta,dop_tight_success,dop_tight_worst_distance,rk4_coarsest_steps,rk4_highest_steps,rk4_coarsest_worst_distance,rk4_high_worst_distance,error
analytic_single,236,True,≥10%,11.087489028914106,1,0.05,PASS_STABLE,True,True,True,True,5.266250202865052e-16,0.0,0.0,0.0,0.00013806097235243887,9.668806030231117e-05,3.969384455209716e-05,4.633008808392509e-05,True,3.973993651728112e-16,1000,8000,0.0004712700794537519,4.633008808432249e-05,
analytic_single,246,True,≥10%,24.00968775397882,1,0.02,PASS_STABLE,True,True,True,True,2.1159872246096965e-15,0.0,0.0,0.0,6.550318023436506e-05,5.261409314414414e-05,2.045299584098044e-05,2.2256712919119577e-05,True,1.4528658640935888e-15,1000,8000,0.00027940403073633397,2.2256712920315323e-05,
analytic_single,246,True,≥10%,24.00968775397882,1,0.05,PASS_STABLE,True,True,True,True,2.1159872246096965e-15,0.0,0.0,0.0,6.550318023436506e-05,5.261409314414414e-05,2.045299584098044e-05,2.2256712919119577e-05,True,1.4528658640935888e-15,1000,8000,0.00027940403073633397,2.2256712920315323e-05,
analytic_single,248,True,≥10%,10.516737965501994,1,0.02,PASS_STABLE,True,True,True,True,1.2225062931717345e-15,0.0,0.0,0.0,0.0001010326072703187,8.093748360534474e-05,4.843495490208491e-05,2.4576341725246854e-05,True,1.1102230246251565e-15,1000,8000,0.00018423884817370134,2.4576341725924454e-05,
analytic_single,248,True,≥10%,10.516737965501994,1,0.05,PASS_STABLE,True,True,True,True,1.2225062931717345e-15,0.0,0.0,0.0,0.0001010326072703187,8.093748360534474e-05,4.843495490208491e-05,2.4576341725246854e-05,True,1.1102230246251565e-15,1000,8000,0.00018423884817370134,2.4576341725924454e-05,
analytic_single,250,True,≥10%,14.666478366294596,1,0.02,PASS_STABLE,True,True,True,True,1.790180836524724e-15,0.0,0.0,0.0,9.045115265227768e-05,3.681816412895619e-05,1.610209292533596e-05,2.946966755177226e-05,True,1.6736404963781187e-15,1000,8000,0.0004739331516158689,2.94696675534459e-05,
analytic_single,250,True,≥10%,14.666478366294596,1,0.05,PASS_STABLE,True,True,True,True,1.790180836524724e-15,0.0,0.0,0.0,9.045115265227768e-05,3.681816412895619e-05,1.610209292533596e-05,2.946966755177226e-05,True,1.6736404963781187e-15,1000,8000,0.0004739331516158689,2.94696675534459e-05,
analytic_single,312,True,1–<5%,3.020868637512643,2,0.02,PASS_STABLE,True,True,True,True,1.7351120105244293e-15,0.0,0.0,0.0,0.0001889055093447399,0.00010727500121784449,0.0001161289576882911,8.369163456315758e-05,True,1.0235750533041806e-15,1000,8000,0.0005732929902846901,8.369163456367905e-05,
analytic_single,312,True,1–<5%,3.020868637512643,2,0.05,PASS_STABLE,True,True,True,True,1.7351120105244293e-15,0.0,0.0,0.0,0.0001889055093447399,0.00010727500121784449,0.0001161289576882911,8.369163456315758e-05,True,1.0235750533041806e-15,1000,8000,0.0005732929902846901,8.369163456367905e-05,
analytic_single,322,True,≥10%,14.795003570203166,1,0.02,PASS_STABLE,True,True,True,True,1.5895974606912448e-15,0.0,0.0,0.0,0.00016311268085265266,0.00011539292007534211,5.5906088521049475e-05,5.349968342107351e-05,True,1.3414875847488985e-15,1000,8000,0.000252612576839347,5.349968342110126e-05,
analytic_single,322,True,≥10%,14.795003570203166,1,0.05,PASS_STABLE,True,True,True,True,1.5895974606912448e-15,0.0,0.0,0.0,0.00016311268085265266,0.00011539292007534211,5.5906088521049475e-05,5.349968342107351e-05,True,1.3414875847488985e-15,1000,8000,0.000252612576839347,5.349968342110126e-05,
analytic_single,329,True,1–<5%,4.495879538412815,2,0.02,PASS_STABLE,True,True,True,True,1.2658490090568385e-15,0.0,0.0,0.0,0.00015832160824070206,5.8928443834012134e-05,9.125171197805114e-05,5.9672092279238186e-05,True,1.159106867033638e-15,1000,8000,0.00033217771529078636,5.967209227948644e-05,
analytic_single,329,True,1–<5%,4.495879538412815,2,0.05,PASS_STABLE,True,True,True,True,1.2658490090568385e-15,0.0,0.0,0.0,0.00015832160824070206,5.8928443834012134e-05,9.125171197805114e-05,5.9672092279238186e-05,True,1.159106867033638e-15,1000,8000,0.00033217771529078636,5.967209227948644e-05,
