method,layout_index,gap_bin,initial_sigma,tolerance,first_visit_order,count
learned_single,792,5–<10%,0.05,0.05,1→4→2→3,17
learned_single,792,5–<10%,0.05,0.02,1→4→2→3,5
learned_single,797,1–<5%,0.0,0.02,2→1→3→4,1
learned_single,797,1–<5%,0.0,0.05,2→1→3→4,1
learned_single,797,1–<5%,0.01,0.02,2→1→3→4,19
learned_single,797,1–<5%,0.01,0.05,2→1→3→4,20
learned_single,797,1–<5%,0.05,0.02,2→1→3→4,10
learned_single,797,1–<5%,0.05,0.05,2→1→3→4,19
learned_single,804,≥10%,0.0,0.02,2→3→1→4,1
learned_single,804,≥10%,0.0,0.05,2→3→1→4,1
learned_single,804,≥10%,0.01,0.02,2→3→1→4,20
learned_single,804,≥10%,0.01,0.05,2→3→1→4,20
learned_single,804,≥10%,0.05,0.05,2→3→1→4,20
learned_single,804,≥10%,0.05,0.02,2→3→1→4,11
learned_single,815,<1%,0.0,0.02,3→2→1→4,1
learned_single,815,<1%,0.0,0.05,3→2→1→4,1
learned_single,815,<1%,0.01,0.02,3→2→1→4,19
learned_single,815,<1%,0.01,0.05,3→2→1→4,20
learned_single,815,<1%,0.05,0.05,3→2→1→4,15
learned_single,815,<1%,0.05,0.02,3→2→1→4,6
learned_single,820,<1%,0.05,0.02,3→2→4→1,1
learned_single,820,<1%,0.05,0.05,3→2→4→1,1
learned_single,822,5–<10%,0.0,0.05,2→1→4→3,1
learned_single,822,5–<10%,0.01,0.05,2→1→4→3,20
learned_single,822,5–<10%,0.01,0.02,2→1→4→3,4
learned_single,822,5–<10%,0.05,0.05,2→1→4→3,20
learned_single,822,5–<10%,0.05,0.02,2→1→4→3,3
learned_single,841,≥10%,0.0,0.02,2→4→3→1,1
learned_single,841,≥10%,0.0,0.05,2→4→3→1,1
learned_single,841,≥10%,0.01,0.02,2→4→3→1,20
learned_single,841,≥10%,0.01,0.05,2→4→3→1,20
learned_single,841,≥10%,0.05,0.02,2→4→3→1,6
learned_single,841,≥10%,0.05,0.05,2→4→3→1,18
learned_single,870,≥10%,0.0,0.02,4→2→3→1,1
learned_single,870,≥10%,0.0,0.05,4→2→3→1,1
learned_single,870,≥10%,0.01,0.02,4→2→3→1,20
learned_single,870,≥10%,0.01,0.05,4→2→3→1,20
learned_single,870,≥10%,0.05,0.05,4→2→3→1,20
learned_single,870,≥10%,0.05,0.02,4→2→3→1,9
learned_single,877,5–<10%,0.0,0.02,1→2→3→4,1
learned_single,877,5–<10%,0.0,0.05,1→2→3→4,1
learned_single,877,5–<10%,0.01,0.02,1→2→3→4,20
learned_single,877,5–<10%,0.01,0.05,1→2→3→4,20
learned_single,877,5–<10%,0.05,0.05,1→2→3→4,18
learned_single,877,5–<10%,0.05,0.02,1→2→3→4,5
learned_single,884,≥10%,0.0,0.02,4→3→1→2,1
learned_single,884,≥10%,0.0,0.05,4→3→1→2,1
learned_single,884,≥10%,0.01,0.02,4→3→1→2,20
learned_single,884,≥10%,0.01,0.05,4→3→1→2,20
learned_single,884,≥10%,0.05,0.05,4→3→1→2,18
learned_single,884,≥10%,0.05,0.02,4→3→1→2,11
learned_single,887,<1%,0.0,0.05,2→4→3→1,1
learned_single,887,<1%,0.01,0.05,2→4→3→1,20
learned_single,887,<1%,0.05,0.05,2→4→3→1,9
learned_single,887,<1%,0.05,0.05,2→3→1→4,1
learned_single,888,5–<10%,0.0,0.02,3→1→4→2,1
learned_single,888,5–<10%,0.0,0.05,3→1→4→2,1
learned_single,888,5–<10%,0.01,0.02,3→1→4→2,20
learned_single,888,5–<10%,0.01,0.05,3→1→4→2,20
learned_single,888,5–<10%,0.05,0.05,3→1→4→2,19
learned_single,888,5–<10%,0.05,0.02,3→1→4→2,11
learned_single,896,≥10%,0.0,0.02,3→4→1→2,1
learned_single,896,≥10%,0.0,0.05,3→4→1→2,1
learned_single,896,≥10%,0.01,0.02,3→4→1→2,20
